isbn;authorTitle
9789045102160;SCHMIDT*JIP EN JANNEKE POPPEJANS GAAT VAREN
9789045102177;SCHMIDT*JIP EN JANNEKE BLOEMEN PLUKKEN
9789045102184;SCHMIDT*JIP EN JANNEKE IN ARTIS
9789045102191;SCHMIDT*JIP EN JANNEKE OE EEN KOE
9789045102207;SCHMIDT*JIP EN JANNEKE NAAR HET CIRCUS
9789045102252;SCHMIDT*JIP EN JANNEKE
9789045102290;SCHMIDT*BEERTJE PIPPELOENTJE
9789045102382;HOF*KLEINE KANS
9789045102450;POSTHUMA*MANNETJE JAS
9789045102467;SCHMIDT*JIP EN JANNEKE SINTERKLAAS KOMT
9789045102597;HAGEN*JIJ BENT DE LIEFSTE DISPL 10 EX MINI ED
9789045102801;KUIJER*BOEK VAN ALLE DINGEN
9789045102900;FUNKE*WILDE KIPPEN CLUB
9789045103013;SCHMIDT*HELE SCHAAP VERONICA LUXE ED
9789045103105;RUGGENBERG*VERRAAD VAN WATERDUNEN
9789045103181;VENDEL*DAGEN VAN DE BLUEGRASSLIEFDE
9789045103198;TELLEGEN*MIJN VADER
9789045103259;SCHMIDT*OTJE
9789045103266;SCHMIDT*OTJES KOOKBOEK
9789045103310;SCHMIDT*TANTE PATENT EN DE GROTE SOF
9789045103402;LEEUWEN*HEB JE MIJN ZUSJE GEZIEN
9789045103440;DUMON TAK*BIBI'S BIJZONDERE BEESTENBOEK
9789045103518;HAGEN*JUBELIENTJE LEERT LEZEN
9789045103594;HAGEN*LICHTJES IN JE OGEN
9789045103808;TELLEGEN*ONTDEKKING VAN DE HONING
9789045103815;SCHMIDT*BEESTENBOEL
9789045103839;FUNKE*WEB VAN INKT
9789045103914;GESTEL*MARIKEN
9789045103921;PELGROM*KLEINE SOFIE EN LANGE WAPPER
9789045104010;OOMEN*HOE OVERLEEF IK ZONDER LIEFDE
9789045104027;OOMEN*EZZIE'S WERELD
9789045104072;LEEUWEN*GA JE MEE NAAR TOEJEWEETWEL ? + CD
9789045104089;OOMEN*EZZIE'S DAGBOEK
9789045104096;OOMEN*BOEK VAN BEER
9789045104188;FUNKE*WILDE KIPPEN CLUB OP SCHOOLREIS
9789045104195;HAGEN*VAN MIJ EN VAN JOU
9789045104218;OOMEN*DROOM VAN LENA LIJSTJE
9789045104225;RUGGENBERG*SLAVENHALER
9789045104232;SCHMIDT*WIPLALA
9789045104249;SCHMIDT*ZIEZO LUXE ED
9789045104256;TELLEGEN*VERJAARDAG VAN DE EEKHOORN
9789045104324;HAGEN*JUBELIENTJE EN HAAR LIEFSTE OMA
9789045104393;HAGEN*PAARDENBOEK
9789045105567;CHAMBERS*DIT IS ALLES
9789045105574;SOLLIE*RAADSEL VOOR ROOSJE
9789045105581;EISELIN*RAADSEL VAN GROEP 6
9789045105598;FUNKE*WILDE KIPPEN CLUB GROOT ALARM
9789045105604;HAGEN*VERKOCHT
9789045105628;OOMEN*HOE OVERLEEF IK MET ZONDER VRIENDEN
9789045105666;VENDEL*GROETEN VAN SUPERGUPPIE
9789045105673;HAGEN*JUBELIENTJE EN SINTERKLAAS
9789045105680;KUIJER*GROTE BOEK VAN MADELIEF
9789045105703;HAGEN*JUBELIENTJE EN SINTERKLAAS SET 5 EX
9789045105772;SCHMIDT*MINOES
9789045105796;MOEYAERT*DURF VOOR DRIE
9789045105802;FOMBELLE*TOBIE LOLNESS OP DE VLUCHT
9789045105819;HEESEN*WATSON
9789045105864;POSTHUMA*COPPELIA
9789045105888;SIMOEN*SLECHT
9789045105895;FUNKE*IGRAINE ZONDERVREES
9789045105918;VENDEL*GELUKVINDER
9789045105925;TELLEGEN*POST VOOR IEDEREEN
9789045105932;POSTHUMA*TIPPIE DE VERHALENVANGSTER
9789045105987;SCHMIDT*WIPLALA CD
9789045106052;CHAMBERS*JE MOET DANSEN OP MIJN GRAF
9789045106069;HOF*KLEINE KANS 
9789045106076;TELLEGEN*MORGEN WAS HET FEEST
9789045106083;KUNST*ISA'S DROOM
9789045106090;LEEUWEN*HALVE HOND HEEL DENKEN
9789045106106;OLDENHAVE*VOOR JOU TIEN ANDEREN
9789045106113;SCHMIDT*ALLEMAAL SPROOKJES
9789045106120;FUNKE*SPOKENJAGERS
9789045106144;SCHMIDT*JIP AND JANNEKE
9789045106151;BOSCH*NAAM VAN DIT BOEK IS GEHEIM
9789045106175;REMMERTS VRIES*DROOMKONIJN
9789045106182;*ABC3D
9789045106199;BEERTEN*ALLEMAAL WILLEN WE DE HEMEL
9789045106205;SCHMIDT*ZING MEE MET ANNIE M.G.
9789045106212;DIEKMANN*IK ZIE JE WEL IK HOOR JE WEL
9789045106342;HAGEN*DANS VAN DE DRUMMERS
9789045106410;FUNKE*WILDE KIPPEN CLUB 4 DE HEMEL OP AARDE
9789045106441;OOMEN*HOE OVERLEEF IK MIJN VRIENDJE EN HIJ MIJ
9789045106489;KRANENDONK*ALLES IS WEG
9789045106519;HIGGINS*BOTTENTOVENAAR
9789045106557;VENDEL*OPA LAAT ZIJN TENEN ZIEN
9789045106564;KUYPER*IK BLIJF ALTIJD BIJ JE
9789045106588;GESTEL*KLEINE FELIX
9789045106595;SCHMIDT*FLODDERTJE TOMATENSOEP
9789045106625;TELLEGEN*ER LIGT EEN APPEL OP EEN SCHAAL
9789045106632;SCHMIDT*BEERTJE PIPPELOENTJE MINIEDITIE
9789045106656;WESTENDORP*JIP AND JANNEKE
9789045106861;TELLEGEN*ER LIGT EEN APPEL OP SCHAAL SET 6 EX
9789045107011;SCHMIDT*FLODDERTJE MUSICALEDITIE + CD
9789045107202;MAKKINK*HELDEN OP SOKKEN
9789045107226;TAN*AANKOMST
9789045107233;FOMBELLE*TOBIE LOLNESS
9789045107240;SCHMIDT*ABELTJE
9789045107257;HOF*MOEDER NUMMER NUL
9789045107271;BOTMAN*HOU VAN MIJ
9789045107288;DUMON TAK*SOLDAAT WOJTEK
9789045107295;FUNKE*SPOKENJAGERS EN HET VUURSPOOK
9789045107301;DROS*MEE MET AENEAS
9789045107318;FUNKE*NACHT VAN INKT
9789045107325;TORNQVIST*WAT NIEMAND HAD VERWACHT
9789045107332;HEYMANS*OP ZOEK NAAR OPA BLESKOP
9789045107349;TELLEGEN*JUFFROUW KACHEL
9789045107356;POSTHUMA*GROTE RINTJE VOORLEESBOEK 
9789045107370;MOEYAERT*DUET MET VALSE NOTEN
9789045107394;SCHMIDT*JAAR MET JIP EN JANNEKE
9789045107424;BERNER*KARELTJE KRIJGT EEN ZUSJE
9789045107493;FUNKE*THOMAS EN DE LAATSTE DRAKEN
9789045107530;RAADGEEP*IK KRIJG ZO'N DRANG VAN BINNEN
9789045107585;DUMON TAK*FIET WIL RENNEN
9789045107592;DENDOOVEN*HOE HET VARKEN AAN KRULSTAART KWAM
9789045107608;FUNKE*WILDE KIPPEN CLUB EN DE LIEFDE
9789045107615;HOF*ALS NIEMAND KIJKT
9789045107639;KROMHOUT*GROTE BOEK VAN MEREL
9789045107646;RUGGENBERG*MANHATAN
9789045107653;SAGE*SEPTIMUS HEAP 1 MAGIEK
9789045107660;SAGE*SEPTIMUS HEAP 2 VLUGHT
9789045107677;SCHMIDT*A VAN ABELTJE
9789045107684;SCHMIDT*TOVERSTOKJE
9789045107691;SCHMIDT*WIPLALA WEER
9789045107714;STERCK*HONDENETERS
9789045107721;STOFFELS*TEGEN DE MUUR OP
9789045107738;SCHMIDT*TOVERSTOKJE SET 5 EX
9789045107813;SCHMIDT*GROTE ANNIE SCHMIDT VOORLEESBOEK + CD
9789045107837;OOMEN*GEHEIM VAN LENA LIJSTJE
9789045107844;OOMEN*LENA LIJSTJE
9789045107851;OOMEN*REIS VAN LENA LIJSTJE
9789045107868;OOMEN*HOE OVERLEEF IK MIJN VAKANTIE
9789045107875;OOMEN*HOE OVERLEEF IK DE BRUGKLAS
9789045107929;DICAMILLO*DESPEREAUX
9789045107936;OOMEN*HOE OVERLEEF IK DE BRUGKLAS?
9789045107943;OOMEN*HOE OVERLEEF IK MIJN EERSTE ZOEN
9789045107950;OOMEN*HOE OVERLEEF IK MIJN OUDERS (EN ZIJ MIJ)
9789045109732;EISELIN*JIM
9789045109756;FUNKE*WILDE KIPPEN CLUB
9789045109763;HAGEN*JUBELIENTJE KRIJGT JONKIES
9789045109770;HAGERUP*BIJT
9789045109787;*HEERLIJKSTE SINTERKLAAS VOORLEESBOEK
9789045109794;JOOSSE*GRRAUW
9789045109800;KUIJER*POLLEKE
9789045109817;*IK WIL EEN NAAM VAN CHOCOLA
9789045109824;VELZEN*AIR TIME
9789045109831;HEESEN*MIJN BROER DE NIEUWE EN IK
9789045109848;OOMEN*HOE OVERLEEF IK ALS KEUKENPRINS(ES)
9789045109855;OOMEN*HOE OVERLEEF IK ZONDER DROMEN
9789045109862;REMMERTS DE VRIES*VOORDAT JIJ ER WAS
9789045109879;GEEST*GEEL GRAS
9789045109886;SOLLIE*ZOMERZOT
9789045109893;STOFFELS*ONTVOERDE PRINS
9789045109916;VENDEL*AJAX WINT ALTIJD
9789045109961;OOMEN*HOE OVERLEEF IK MIJN VAKANTIE IN TURKIJE
9789045110004;OOMEN*HOE OVERLEEF IK MN VAKANTIE TURKIJE 5 EX
9789045110035;OOMEN*HOE OVERLEEF IK MIJN VAKANTIE DUITSLAND
9789045110059;OOMEN*HOE OVERLEEF IK MIJN VAKANTIE IN TSJECHIE
9789045110066;OOMEN*HOE OVERLEEF IK MIJN VAKANTIE
9789045110073;OOMEN*HOE OVERLEEF IK HET JAAR 2000
9789045110233;OOMEN*HOE OVERLEEF IK MEZELF
9789045110240;OOMEN*HOE OVERLEEF IK EEN GEBROKEN HART
9789045110257;OOMEN*HOE OVERLEEF IK MET/ZONDER JOU
9789045110288;BOISROBERT*POP-UP STAD
9789045110295;ORANJE*MR. FINNEY EN DE WERELD OP ZIJN KOP
9789045110301;DICAMILLO*VERHAAL VAN DE OLIFANT EN GOOCHELAAR
9789045110318;DUMON TAK*LATINO KING
9789045110325;FUNKE*SPOKENJAGERS EN HET GRIEZELKASTEEL
9789045110332;REMMERTS DE VRIES*BERNIE KING IN EEN SPIEGEL
9789045110349;WIGERSMA*SPIEGELMEISJE
9789045110356;SAGE*SEPTIMUS HEAP 3: ELIXER
9789045110363;GATTI*DIEVEN
9789045110370;HOVING*VERBOND VAN DE BLIKSEMS
9789045110387;VENDEL*DRAKEN MET STEKKERS
9789045110394;TAN*VERHALEN UIT EEN VERRE VOORSTAD
9789045110400;LINDELAUF*HEMEL VAN HEIVISJ
9789045110417;SIMOEN*SIGI & JULIA
9789045110424;LEEUWEN*IEP FILMEDITIE
9789045110431;FUNKE*SPOKENJAGERS
9789045110448;HAGEN*VAN MIJ EN VAN JOU + PUZZEL
9789045110455;SCHMIDT*FLODDERTJE VIES
9789045110462;*FLUIT ZOALS JE BENT
9789045110479;TELLEGEN*IEDEREEN WAS ER
9789045110486;SCHMIDT*JIP EN JANNEKE 1
9789045110493;SCHMIDT*JIP EN JANNEKE 2
9789045110509;SCHMIDT*JIP EN JANNEKE 3
9789045110516;SCHMIDT*JIP EN JANNEKE 4
9789045110523;SCHMIDT*JIP EN JANNEKE 5
9789045110530;SCHMIDT*JIP EN JANNEKE SINTERKLAAS KOMT 10 EX
9789045110547;SCHMIDT*WIPLALA WEER (MUSICAL-EDITIE) + CD
9789045110554;OOMEN*HOE OVERLEEF IK MIJN EERSTE ZOEN + CD
9789045110561;FUNKE*DIEVENBENDE VAN SCIPIO
9789045110578;SCHMIDT*FLODDERTJE: ALLEMAAL KAAL SET 4 EX
9789045110585;SCHMIDT*FLODDERTJE: VIES SET 4 EX
9789045110608;HAGEN*JIJ BENT DE LIEFSTE CADEAU EDITIE
9789045110615;HAGEN*JIJ BENT DE LIEFSTE SET A 5 EX CADEAU ED
9789045110622;HAGEN*JIJ BENT DE LIEFSTE 10 EX CADEAU ED
9789045110646;ORANJE*MR. FINNEY AND THE WORLD TURNED 
9789045110653;BOUHUYS*AVONTUREN PIM & POM DISPLAY 6 X
9789045110660;BOUHUYS*AVONTUREN PIM & POM 1 JARIG
9789045110677;BOUHUYS*AVONTUREN PIM & POM 1 JARIG SET 6 EX
9789045110684;BOUHUYS*AVONTUREN PIM & POM 2 DE NICHTJES
9789045110691;BOUHUYS*AVONTUREN PIM & POM 2 NICHTJES SET 6EX
9789045110707;BOUHUYS*AVONTUREN PIM & POM 3 BEROEMD
9789045110714;BOUHUYS*AVONTUREN PIM & POM 3 BEROEMD SET 6 EX
9789045110721;BOUHUYS*AVONTUREN PIM & POM 4 VLIEGEND TAPIJT
9789045110738;BOUHUYS*AVONTUREN PIM & POM 4 VLIEGEND SET 6EX
9789045110745;BOUHUYS*AVONTUREN PIM & POM 5 HUISKATTEN
9789045110752;BOUHUYS*AVONTUREN PIM & POM 5 HUISKATT SET 6EX
9789045110769;BOUHUYS*AVONTUREN PIM & POM 6 DE KRANT
9789045110776;BOUHUYS*AVONTUREN PIM & POM 6 KRANT SET 6 EX
9789045110783;ALMOND*SLANGENKUIL 
9789045110790;COCK*HOE OMA ALMAAR KLEINER WERD 
9789045110806;DROS*BOEBOEK 
9789045110813;DUBUC*IK ZIE IK ZIE
9789045110820;GEEST*DISSUS 
9789045110837;POSTHUMUS*POES GAAT OP REIS
9789045110844;LEEUWEN*TOEN MIJN VADER EEN STRUIK WERD 
9789045110851;REMMERTS DE VRIES*MONSTERMUIS
9789045110868;ROOD*MISS DAKLOOS 
9789045110875;FUNKE*WILDE KIPPEN CLUB VOOR ALTIJD
9789045110882;TELLEGEN*WAT DANSEN WE HEERLIJK 
9789045110899;VENDEL*HOERA VOOR SUPERGUPPIE! 
9789045110905;WEBER*HIJ OF IK
9789045110912;VENDEL*HOERA VOOR SUPERGUPPIE DISPLAY 6 EX 
9789045110936;RUGGENBERG*VERRAAD VAN WATERDUNEN
9789045110943;SAGE*SEPTIMUS HEAP 1 MAGIEK
9789045110950;SCHMIDT*PLUK VAN DE PETTEFLET 
9789045110967;SCHMIDT*PLUK EN ZIJN VRIENDJES 
9789045111032;*IK LEES IK LEES
9789045111049;*WIE HEEFT HIER MET VERF LOPEN SMIJTEN
9789045111056;BOUHUYS*JORIS KABELTJE
9789045111063;DUMON TAK*BEZEM
9789045111070;FUNKE*HART VAN INKT
9789045111087;FUNKE*RECKLESS
9789045111094;HAGEN*HEEL VEEL JUBELIENTJE
9789045111117;LEEUWEN*METRO MAGNUS & HUIS MET ZEVEN KAMERS
9789045111124;MOEYAERT*PARADIJS + CD
9789045111131;OOMEN*EZZIES DAGBOEK
9789045111148;OOMEN*EZZIES WERELD
9789045111155;OOMEN*HOE OVERLEEF IK DE BRUGKLAS?
9789045111162;OOMEN*HOE OVERLEEF IK MIJN VAKANTIE?
9789045111179;OOMEN*HOE OVERLEEF IK MIJN VADER? EN HIJ MIJ
9789045111209;SAGE*SEPTIMUS HEAP 4 QUEESTE
9789045111216;SCHMIDT*DAG PLUK
9789045111223;SCHMIDT*FLODDERTJE IN BAD
9789045111247;SCHMIDT*IK BEN JIP IK BEN JANNEKE + CD
9789045111254;SCHMIDT*JIP EN JANNEKE SPELEN
9789045111261;SCHMIDT*JIP EN JANNEKE DIEREN
9789045111285;SCHMIDT*WELTERUSTEN PLUK
9789045111292;STEAD*ALS JE TERUGKOMT
9789045111308;TORNQVIST*JIJ EN IK EN MIJN RODE FIETS
9789045111315;VENDEL*SOFIE EN DE PINGUINS
9789045111322;VRANCKEN*BEU
9789045111346;SCHMIDT*JIP EN JANNEKE 10 X DIEREN+10 X SPELEN
9789045111353;SCHMIDT*IK BEN JIP IK BEN JANNEKE DISPL 15 EX
9789045111360;SCHMIDT*PLUK AND HIS FRIENDS
9789045111391;BATAILLE*10
9789045111445;CROWTHER*IN HET PIKKEDONKER 
9789045111476;CHAMBERS*JE MOET DANSEN OP MIJN GRAF
9789045111483;COCK*ROSIE EN MOUSSA
9789045111490;FOMBELLE*VANGO 1 TUSSEN HEMEL EN AARDE
9789045111506;FUNKE*SPOKENJAGERS IN GROOT GEVAAR
9789045111513;GODON*IS HET NOG VER?
9789045111520;HAGEN*JIJ BENT DE LIEFSTE
9789045111537;HOVING*VULKAAN VAN WAGENINGEN
9789045111544;KUIJER*BOEK VAN ALLE DINGEN
9789045111551;MAARSEN*JE BESTE VRIENDIN ANNE
9789045111568;OOMEN*HOE OVERLEEF IK HET JAAR 2000?
9789045111575;OOMEN*HOE OVERLEEF IK MIJN EERSTE ZOEN?
9789045111582;ORANJE*MR FINNEY EN DE ANDERE KANT VAN HET
9789045111599;PRETER*OP DE RUG VAN DE DUIVEL
9789045111605;QUINTANA*BOEK VAN BOD PA
9789045111612;*KLEINE MUSEUM
9789045111629;SIMOEN*IK BEN ALICE
9789045111636;SMID*FIEP IN VOGELVLUCHT
9789045111643;TIMMERS*MENEER RENE
9789045111650;WEEL*PIEP EEN NIEUWE DAG
9789045111667;WEEL*PIEP! EEN NIEUWE DAG SET 6 EX
9789045111674;WEEL*PIEP ALLEMAAL DIEREN
9789045111681;WEEL*PIEP! ALLEMAAL DIEREN SET 6 EX
9789045111698;WEEL*PIEP! DISPLAY 6 EX DAG + 6 EX DIEREN
9789045111704;WESTENDORP*ABC MET FIEP
9789045111711;WESTENDORP*123 MET FIEP
9789045111728;WIGERSMA*NIEMANDSKIND
9789045111735;WESTENDORP*DISPLAY 6 X ABC + 6 X 123
9789045111742;HAGEN*JIJ BENT DE LIEFSTE ROL INPAKPAPIER 
9789045111759;HAGEN*JIJ BENT DE LIEFSTE TASJES 
9789045111827;BOISROBERT*IN HET BOS VAN DE LUIAARD
9789045111834;ALMOND*MIJN NAAM IS NINA 
9789045111841;ALMOND*SCHADUW VAN SKELLIG 
9789045111858;BOS*KORTE LONTJES 
9789045111865;DUMON TAK*MIKIS DE EZELJONGEN 
9789045111872;GEELEN*ZOEK VOGELTJE
9789045111889;HOF*MIJN OPA EN IK EN HET VARKEN OMA 
9789045111896;KUIJER*EEND VOOR EEND 
9789045111902;KUIJER*OLLE 
9789045111919;LEEUWEN*BEZOEKJAREN 
9789045111926;MOEYAERT*MELKWEG 
9789045111933;OOMEN*HOE OVERLEEF IK DE PUBERTEIT
9789045111940;OOMEN*HOE OVERLEEF IK EEN GEBROKEN HART
9789045111957;OOMEN*HOE OVERLEEF IK MEZELF
9789045111964;PRINS*ONDERGEDOKEN ALS ANNE FRANK
9789045111971;SCHMIDT*JIP EN JANNEKE 
9789045111988;SCHMIDT*JIP EN JANNEKE UITDEELBOEKJES BOX 10 EX
9789045111995;SCHMIDT*JIP EN JANNEKE ER IS ER EEN JARIG 
9789045112008;SCHMIDT*JIP EN JANNEKE KLEUREN
9789045112015;SCHMIDT*100 X ANNIE 
9789045112022;SCHMIDT*WIPLALA & WIPLALA WEER 
9789045112039;SCHUTTEN*IK WIL VLEUGELS
9789045112046;SOLLIE*KONIJNTJESBROOD 
9789045112053;SOLLIE*NOOIT GAAT DIT OVER 
9789045112060;STERCK*MET HUID EN HAAR
9789045112077;STOFFELS*MOSJE EN REIZELE 
9789045112084;WIGERSMA*VERVELENDE VARKEN 
9789045112091;OOMEN*HOE OVERLEEF IK WILD BREIEN
9789045112107;KUIJER*GUUS KUIJERS MOOISTE DIERENBOEKEN 2X6 EX
9789045112114;SCHMIDT*JIP EN JANNEKE-KLEUREN DISPLAY 10 EX
9789045112121;SCHMIDT*PLANO DISPLAY BABY'S 2011 
9789045112138;SCHMIDT*JIP EN JANNEKE-ER IS ER EEN JARIG DISPL
9789045112145;OOMEN*HOE OVERLEEF IK DE PUBERTEIT DISPLAY 10EX
9789045112152;DUMON TAK*FIET WIL RENNEN + VINGERPOPJE
9789045112169;SCHMIDT*DISPLAY 100 JAAR ANNIE
9789045112176;SCHMIDT*PROMOPAKKET BKH 2011
9789045112190;SCHMIDT*SCHMIDT-JAAR TASJES 
9789045112206;SCHMIDT*ANNIE M.G. BABY'S DISPLAY 2X4 & 3X6 EX
9789045112213;CHAMBERS*DIT IS MIJN DAG 
9789045112220;DUBUC*GROTE BEESTENVERKLEEDFEEST 
9789045112237;DUMON TAK*WINTERDIEREN 
9789045112244;FUNKE*MISSISSIPPI IS VAN MIJ 
9789045112251;FUNKE*EERSTE AVONTUREN VAN DE WILDE KIPPENCLUB
9789045112268;GESTEL*AL DAT HEERLIJKE VERDRIET 
9789045112275;HAGEN*JUBELIENTJE EN HET LAATSTE DROPJE 
9789045112282;HEESEN*BAJAAR 
9789045112299;HOOGSTAD*NINO EN NINA 
9789045112305;LEEUWEN*WAAROM LIG JIJ IN MIJN BEDJE? 
9789045112312;*VIJF DRAKEN VERSLAGEN
9789045112329;LINDELAUF*SUPERHELP 
9789045112336;OOMEN*COMPUTERHEKS
9789045112343;OOMEN*HOE OVERLEEF IK MET/ZONDER JOU? 
9789045112350;OOMEN*HOE OVERLEEF IK MIJN OUDERS? (EN ZIJ MIJ)
9789045112367;OOMEN*COMPUTERHEKS IN GEVAAR
9789045112374;POSTHUMA*MANNETJE JAS
9789045112381;RANST*SHOWBIZZKISS 
9789045112398;TAN*RODE BOOM 
9789045112404;TORNQVIST*MIJN REIS
9789045112411;VENDEL*TOEN KWAM SAM 
9789045112428;VRANCKEN*30.000 WOORDEN VAN CHARLIE 
9789045112435;*WEGWEZEN
9789045112442;DROS*ILIOS & ODYSSEUS 
9789045112459;VENDEL*AJAX WINT ALTIJD
9789045112466;POSTHUMA*MANNETJE JAS MINI DISPLAY 6 EX 
9789045112473;OOMEN*HOI DISPLAY PAPERBACKS 6 X 4 EX
9789045112497;TORNQVIST*MIJN REIS DISPLAY 6 EX 
9789045112503;VENDEL*AJAX WINT ALTIJD 2 DISPLAY 6 EX 
9789045112510;SCHMIDT*ABELTJE & DE A VAN ABELTJE
9789045112527;SCHMIDT*IBBELTJE 
9789045112534;SCHMIDT*TOW-TRUCK PLUCK 
9789045112558;SCHMIDT*PLUK VAN DE PETTEFLET 
9789045112657;MOEYAERT*MANSOOR
9789045112664;ERLBRUCH*ZOEN ME TOT IK SPIN DISPLAY 6 EX
9789045112671;SCHMIDT*JIP EN JANNEKE: DECEMBER! DISPLAY 10 EX
9789045112688;DROS*MACHT VAN DE LIEFDE DISPLAY 6 EX
9789045112701;OOMEN*HOI ZONDER GROEP 8 DISPLAY 10 EX
9789045112718;OOMEN*HOE OVERLEEF IK DISPLAY 3 X 6 EX
9789045112732;SCHMIDT*VIJVER VOL INKT
9789045112749;CHAMBERS*DIT IS ALLES
9789045112756;COCK*ROSIE EN MOUSSA: DE BRIEF VAN PAPA
9789045112763;DROS*BOEK VAN ELLA
9789045112770;DROS*MACHT VAN DE LIEFDE
9789045112794;ERLBRUCH*ZOEN ME TOT IK SPIN
9789045112800;GEEST*SPINDER
9789045112817;HOF*ZWAAN LAAT HET WAAIEN
9789045112824;HAGEN*JIJ BENT DE LIEFSTE + SETJE GRATIS
9789045112831;OOMEN*HOE OVERLEEF IK ZONDER GROEP 8?
9789045112848;OOMEN*HOE OVERLEEFT ROSA IN NEW YORK
9789045112855;POST*LIED VOOR DE MAAN
9789045112862;RUGGENBERG*IJSBARBAAR
9789045112879;SAGE*SEPTIMUS HEAP BOEK 5: SIRENE
9789045112886;SCHMIDT*VIJVER VOL INKT
9789045112893;SCHMIDT*JIP EN JANNEKE: DECEMBER!
9789045112909;SCHMIDT*POND FULL OF INK
9789045112916;TELLEGEN*IEDEREEN WAS ER
9789045112923;TIMMERS*BOEM
9789045112930;WOLTZ*MEISJE VAN MARS
9789045113012;OOMEN*HOE OVERLEEF IK (ZONDER) LIEFDE? + CD
9789045113029;OOMEN*PLANO DISPLAY HOI PAPERBACKS
9789045113036;HOF*KLEINE KANS
9789045113067;FOMBELLE*VANGO 2 EEN PRINS ZONDER KONINKRIJK
9789045113074;FUNKE*RIDDER ZONDER HART
9789045113081;HAGEN*HOE ANGST KLINKT
9789045113098;HAGEN*JUBELIENTJE LEERT LEZEN EN SCHRIJVEN
9789045113104;HARPER*GEWOON LISA
9789045113111;KUIJER*GROTE BOEK VAN MADELIEF
9789045113128;OOMEN*HOE OVERLEEF IK ZONDER LIEFDE?
9789045113135;OOMEN*HOE OVERLEEF IK DE BRUGKLAS
9789045113142;OOMEN*HOE OVERLEEF IK MET/ZONDER VRIENDEN
9789045113159;SCHMIDT*ALLEMAAL SPROOKJES
9789045113166;SCHMIDT*LENTE MET JIP EN JANNEKE
9789045113173;SCHMIDT*ZOMER MET JIP EN JANNEKE
9789045113180;SCHMIDT*KONING GAAT VERHUIZEN
9789045113197;STERCK*NIET ZONDER LIEFDE
9789045113203;TELLEGEN*BRIEVEN AAN BIJNA NIEMAND ANDERS
